term,2_埔里家樂福,3_新仁家樂福,4_頭份大潤發,6_楠梓家樂福,7_土城青雲,8_高雄成功家樂福,9_新竹大魯閣,10_青海家樂福,11_斗六家樂福,12_東海Jmall,13_新楠家樂福,14_桃園春日家樂福,15_苗栗家樂福,16_彰化家樂福,17_永康中正家樂福,18_基隆愛買,19_台中大魯閣,20_宜蘭家樂福,21_新竹忠孝,22_高雄美術南三,23_嘉義北門家樂福,24_高雄三多三,25_板橋南雅愛買,26_桃園愛買,27_員林大潤發,28_基隆仁二,29_樹林家樂福,30_南投家樂福,31_仁德中山,32_安平家樂福,33_高雄鼎山家樂福,34_屏東家樂福,35_竹南家樂福,36_重新家樂福,37_台中黎明,38_林口家樂福,39_清水中山,40_三峽大學,41_嘉義大潤發,42_三重龍門,43_太平中山,44_台中文心家樂福,45_蘆洲家樂福,46_豐原源豐,47_淡水中山,48_桃園南平,49_台中文心崇德,50_大里大買家,51_台中美村南,52_捷運七張,53_八德家樂福,54_鳳山五甲,55_新竹林森,56_台北安居,57_台南中華東,58_高雄華夏,59_新莊輔大,60_台中中華,61_中壢中美,62_高雄鳳山,63_台北士林中正,64_中和德光,65_中壢家樂福,66_台北天母,67_台北興隆,68_板橋捷運新埔,69_台北民權龍江,70_台北桂林家樂福,71_台北信義,72_台北捷運後山埤
價格,0.005050081703692242,0,0.00127883972637565,0.003395608758644862,0,0.005200920464256527,0,0.002257868479555349,0.004091325590773226,0.001451056809527571,0.0031821421261569536,0.00127883972637565,0.0011242692222579321,0.00633956858531463,0.0010414283321968213,0.0012395132199836882,0.00239712028005656,0.0009866660082916393,0.0012423431588420982,0.0028452094304462173,0.004153788576891902,0.0017468581174087932,0.0047351382471893175,0.0018367807715538873,0.0007812581530119729,0.0022672762648868294,0,0,0.003250251688837267,0.0036519886145828127,0.0032903782528969864,0.0019451163666589423,0.0029513019854798053,0.0027357782985059785,0.0005411698692917345,0.0035030877912414536,0.0037657183638258765,0.003587777825754983,0.002032292450318727,0,0.0018926827950359621,0.0011820701743073985,0.00211318952843821,0.001811807892029431,0.0030946709207933976,0.00390691402645038,0.0017695814750336232,0.0011540748750219281,0.003353014194550945,0.001614677458673113,0.002801267972060948,0.0023960647449266363,0.002805910957649999,0.0014872464737214599,0.0062658084614360746,0.0010868434825023418,0.003597000904998569,0.00284361636805515,0.0029599980248749182,0.0012348251972152174,0.00048736793871279814,0.0007421020164648334,0.0019341693254958734,0.003637341601422721,0.0015687100643541308,0.0010792984533676147,0.0010190005684884628,0.0017649180736195877,0.0027362785551091335,0.0019071560743352653
不會,0.002420353066972642,0.0035064610818998612,0.001225819238384499,0.001627413684657112,0.0032855816436699486,0.0012463227859799387,0,0.003246386426966417,0.002614466596153405,0.0013908962291536116,0.0020334740192304262,0.006129096191922496,0.0010776572023400916,0.001012788516373989,0.0009982508821676638,0.004752492810319857,0.003446604092065668,0.0009457589953447042,0.004763343250526067,0.004090871262216505,0.0023889439050348293,0.003907011879644977,0.0007564700303591071,0.0035212562763382574,0.002995469265944605,0.0014488502387016789,0.0018408920679974271,0.0021892385558556324,0.0015577483900426213,0.0028004622063495534,0.0015769798516480859,0.0009322360785211874,0,0,0.0020749322165394503,0.002238566892414611,0.0010313120829117239,0.001146343046005724,0.0029220509015832176,0.0033206935893844752,0.0022677655910113234,0.0030214979634039353,0.0030383655491219674,0.002894484383643753,0.0009887887884978282,0.0020805188908360767,0.0022616198848026204,0.001843711862610832,0.0036731414502296084,0.0015477331926783513,0.0026851278555089027,0.002296724288562767,0.0011526764330002308,0.0014255854757297011,0.00337839134465163,0.0031253493830848463,0.001532386591061636,0.003115109135842355,0.0018915179906894084,0.001972715907460682,0.0030365513287612437,0.0021340037610607745,0.0024719719712445708,0.0017432690037854424,0.0033832610979412175,0.004483053961734781,0.002930258909733732,0.002749085391090151,0.002861272242830287,0.0018280856922920656
太貴,0.007385703794342179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035057690918077968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015829131453811431,0,0,0,0,0,0,0,0,0,0.0015086437608348244,0,0,0.0011252168028849344,0,0,0,0,0,0,0,0,0,0.0011882188635167895,0,0,0,0,0,0,0,0,0,0,0,0.0005071273435337708
小資,0.008476199453845045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019598937578364888,0,0,0,0,0.0015883660715683545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001656048034726752,0,0,0,0,0,0,0,0,0,0,0
族,0.006867969336536588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002237411023467324,0,0,0,0,0.0015880336824287927,0,0,0,0,0,0,0,0,0,0.0011807318643985917,0,0,0,0,0,0,0,0,0.0010651654494592548,0,0,0,0.0013418380707376561,0,0,0,0,0,0.0010667008230800972,0,0,0.0006000597575607682,0,0.0004715779487091396
火鍋,0.009280742459396751,0.011764705882352941,0.0023501762632197414,0.0015600624024961,0.0015748031496062992,0.0023894862604540022,0.004291845493562232,0.0031120331950207467,0.0037593984962406013,0.0026666666666666666,0.0029239766081871343,0.0011750881316098707,0.002066115702479339,0.000970873786407767,0.005741626794258373,0.003416856492027335,0.0022026431718061676,0.001813236627379873,0.0045662100456621,0.00392156862745098,0.0061068702290076335,0.004280363830925628,0.0036258158085569255,0.0033755274261603376,0.0007178750897343862,0.007638888888888889,0.0017647058823529412,0.0031479538300104933,0.004479840716774514,0.005369127516778523,0.006046863189720333,0.004468275245755138,0.002033898305084746,0.005530417295123178,0.0034808552958727,0.005901287553648069,0.005437469105289174,0.0027472527472527475,0.006535947712418301,0.0031832651205093224,0.004347826086956522,0.002896451846488052,0.004368932038834952,0.005549389567147614,0.0018957345971563982,0.0031910650179497405,0.004336043360433604,0.006009190526687876,0.0030809859154929575,0.002967359050445104,0.005148005148005148,0.007485689123734038,0.004419889502762431,0.004441407584557568,0.0021590500179920835,0.0039946737683089215,0.004774146162320969,0.006345651362448675,0.003173164097914778,0.0071860816944024205,0.0024630541871921183,0.004432321854756222,0.006812796208530806,0.004679144385026738,0.004324324324324324,0.0036363636363636364,0.003745318352059925,0.003040745996351105,0.002057142857142857,0.003664170782220806
好,0.009280742459396751,0.008403361344537815,0.005875440658049354,0.0093603744149766,0.009448818897637795,0.008363201911589008,0.005722460658082976,0.00933609958506224,0.007518796992481203,0.004,0.0029239766081871343,0.005875440658049354,0.008264462809917356,0.005825242718446602,0.0066985645933014355,0.004555808656036446,0.007709251101321586,0.0009066183136899365,0.0091324200913242,0.00784313725490196,0.007633587786259542,0.00749063670411985,0.007976794778825236,0.010126582278481013,0.004307250538406317,0.007638888888888889,0.00411764705882353,0.01049317943336831,0.0029865604778496766,0.006040268456375839,0.015117157974300832,0.006255585344057194,0.010169491525423728,0.005530417295123178,0.007956240676280457,0.008047210300429184,0.009391992090954029,0.008791208791208791,0.00980392156862745,0.005911778080945885,0.006956521739130435,0.00724112961622013,0.010194174757281554,0.004439511653718091,0.01042654028436019,0.006382130035899481,0.007046070460704607,0.009544008483563097,0.003961267605633803,0.005044510385756677,0.007293007293007293,0.007926023778071334,0.0066298342541436465,0.004783054321831227,0.007196833393306945,0.005992010652463382,0.007344840249724568,0.007838745800671893,0.006799637352674524,0.00794251134644478,0.006045678459471563,0.009887487214456188,0.00740521327014218,0.008021390374331552,0.006846846846846847,0.007603305785123967,0.006554307116104869,0.00608149199270221,0.0070857142857142855,0.006372470925601402
選擇,0.009818907263576327,0.0017781298447905032,0.0012432282698593999,0.0016505261429802642,0.004998364996773304,0.0012640230079454591,0,0.0010974971552389515,0.002651597136968294,0.0028212993537342647,0,0.0024864565397187998,0.0021859240860544406,0.0030815162844184934,0.0010124279977515305,0.0012049968765949308,0,0.0028775718703092003,0.004830992044065521,0.0027659797585630045,0.00484574316481076,0.003396427793420062,0,0.0017856325023634587,0.00455701618514149,0.008081847107051279,0.0018670363370300283,0.004440660053096954,0.004212990573022795,0.0014201171243628848,0.003998440127174411,0.00236368913684171,0.0014345589934242025,0.002659595921695197,0.0031566004703640457,0.0034055383829946864,0.005229793661148539,0.0023252467201106577,0.0004939249568862509,0.0033678539352216667,0.003679955678783824,0.0022983068594866385,0.003595102331821575,0.0011742366899559927,0.0020056630476783873,0.0012660397977467283,0.0028671741399738464,0.0014959169425950503,0.0013969902169678908,0.0018836568385466159,0.002269384937044936,0.004192816080516575,0.002338093387072595,0.0018072894732667395,0.0022842474076653816,0.0021131569726704712,0.0011656121090529005,0.00434410594779912,0.0019183812468728002,0.001600585866339409,0.001895185414510254,0.0010821553948009027,0.0021936939583982362,0.0035360536686174773,0.0019062833471177466,0.0038472263914558157,0.002971874319242554,0.0019302423107344705,0.0019346052711320672,0.002359697563661764
很多,0.002420353066972642,0.0017532305409499306,0.004903276953537996,0,0.0032855816436699486,0.0012463227859799387,0.0014923779282764074,0.0021642576179776115,0,0.0055635849166144466,0.0010167370096152131,0.002451638476768998,0.003232971607020275,0.0030383655491219674,0.006987756175173647,0.004752492810319857,0.00574434015344278,0.0018915179906894084,0.004763343250526067,0,0.003981573175058048,0.003907011879644977,0.0037823501517955356,0.002640942207253693,0.003744336582430756,0.0028977004774033577,0.0024545227573299026,0.007662334945494713,0.0015577483900426213,0.0014002311031747767,0.004730939554944257,0.0027967082355635623,0.0028289414830242952,0.0020978826985725662,0.002593665270674313,0.004477133784829222,0.003093936248735172,0.001146343046005724,0.003409059385180421,0.0018975391939339858,0.004989084300224911,0.0030214979634039353,0.0030383655491219674,0.0011577937534575013,0.0024719719712445708,0.0020805188908360767,0.0028270248560032757,0.0022124542351329986,0.0027548560876722063,0.002785919746821032,0.0022376065462574187,0.0027560691462753203,0.0026895783436672047,0.0010691891067972758,0.005255275425013646,0.0017363052128249146,0.0026816765343578627,0.003893886419802944,0.0023643974883617606,0.0043399749964135,0.0011679043572158628,0.0014226691740405165,0.004016954453272427,0.0024405766052996193,0.0030073431981699713,0.003448503047488293,0.0035814275563412286,0.002960553498097085,0.002622832889261096,0.002825223342633192
裝潢,0.0032284892485694304,0,0,0,0.0021913053009975187,0,0,0,0,0,0.00135621721845363,0,0,0.0013509503554693441,0.0013315587235726552,0,0.0015324657116006879,0,0,0.0036378532447932663,0.002124395215470877,0,0.0010090492140198872,0.001174243768888966,0.0019978160317780684,0,0,0.0014601037420077906,0.0013852452624523888,0.0009338784336465936,0.003155280875585997,0.0006217510572535409,0.002830126507390016,0.0006995871624602435,0,0.0014930030752504555,0,0,0,0.0018983340602093104,0.001209981622724717,0.0010075878827903145,0.0033773758886733603,0,0,0.0016651123248505278,0.001508378174670379,0.00049186244826208,0.0030622334201879944,0.0008258034813848216,0.0005969450305162696,0.0018381490966095436,0.0010250304722898155,0.0009507884291994702,0.0005007120784934956,0.00046320867714161936,0.001022018998261788,0.0010388046779644827,0.0018923103347236055,0.0010525558745336041,0.0024925729800867433,0.0023721085341517636,0.001648671642338181,0.0018602658638147385,0.001002867651267333,0.001379979040793479,0,0.001410377930400795,0.0015902615612953424,0.0011083948272530065
